入金日,商品,口座,銘柄コード,銘柄,受取通貨,単価[円/現地通貨],数量[株/口],配当・分配金合計（税引前）[円/現地通貨],税額合計[円/現地通貨],受取金額[円/現地通貨]
"2026/09/03","国内株式","特定・一般","3003","ヒューリック","円","33.5","300","10,050","2,041","8,009"
"2026/09/01","国内株式","NISA成長投資枠","1605","ＩＮＰＥＸ","円","-","400","22,400","0","22,400"
"2026/08/31","投資信託","NISA成長投資枠","","楽天・シュワブ・高配当株式・米国ファンド(四半期決算型)(楽天・SCHD)","円","95.00","150,514","1,430","0","1,430"
"2026/08/28","投資信託","旧NISA","","iFreePlus 米国配当王(年4回決算型)","円","85.00","320,616","2,725","0","2,725"
"2026/07/27","国内株式","特定・一般","3031","ラクーンホールディングス","円","16","400","6,400","1,300","5,100"
"2026/07/17","国内株式","特定・一般","2559","ＭＸＳ全世界株式","円","193","68","13,124","1,669","11,455"
"2026/07/17","国内株式","NISA成長投資枠","2559","ＭＸＳ全世界株式","円","-","68","13,124","0","13,124"
"2026/06/30","国内株式","特定・一般","8766","東京海上ＨＤ","円","112.5","100","11,250","2,284","8,966"
"2026/06/29","国内株式","特定・一般","8306","三菱ＵＦＪフィナンシャルＧ","円","51","100","5,100","1,036","4,064"
"2026/06/26","国内株式","NISA成長投資枠","3002","グ　ン　ゼ","円","-","100","21,600","0","21,600"
"2026/06/25","国内株式","特定・一般","7504","高速","円","58","300","17,400","3,534","13,866"
"2026/06/25","国内株式","NISA成長投資枠","1301","極　洋","円","-","100","15,000","0","15,000"
"2026/06/24","国内株式","特定・一般","8424","芙蓉総合リース","円","79","100","7,900","1,604","6,296"
"2026/06/23","国内株式","特定・一般","8725","ＭＳ＆ＡＤ","円","82.5","100","8,250","1,675","6,575"
"2026/06/22","国内株式","NISA成長投資枠","8053","住友商事","円","-","100","8,000","0","8,000"
"2026/06/18","国内株式","特定・一般","9433","ＫＤＤＩ","円","40","200","8,000","1,625","6,375"
"2026/06/12","国内株式","特定・一般","166A","タスキホールディングス","円","16","200","3,200","650","2,550"
"2026/06/08","国内株式","特定・一般","8473","ＳＢＩホールディングス","円","75","200","15,000","3,047","11,953"
"2026/06/08","国内株式","特定・一般","8593","三菱ＨＣキャピタル","円","24","400","9,600","1,950","7,650"
"2026/06/04","国内株式","特定・一般","2296","伊藤ハム米久ＨＬＤＧＳ","円","75","200","15,000","3,047","11,953"
"2026/06/01","国内株式","NISA成長投資枠","9432","ＮＴＴ","円","-","1,000","2,650","0","2,650"
"2026/05/29","投資信託","NISA成長投資枠","","楽天・シュワブ・高配当株式・米国ファンド(四半期決算型)(楽天・SCHD)","円","90.00","38,877","350","0","350"
"2026/05/29","投資信託","旧NISA","","iFreePlus 米国配当王(年4回決算型)","円","85.00","320,616","2,725","0","2,725"
"2026/05/26","国内株式","特定・一般","7203","トヨタ自動車","円","50","200","10,000","2,031","7,969"
"2026/04/24","国内株式","特定・一般","1928","積水ハウス","円","72","100","7,200","1,462","5,738"
"2026/03/30","国内株式","NISA成長投資枠","1605","ＩＮＰＥＸ","円","-","400","20,000","0","20,000"
"2026/03/26","国内株式","特定・一般","3003","ヒューリック","円","33.5","300","10,050","2,041","8,009"
"2026/03/05","国内株式","特定・一般","2296","伊藤ハム米久ＨＬＤＧＳ","円","90","200","18,000","3,656","14,344"
"2026/03/02","投資信託","旧NISA","","iFreePlus 米国配当王(年4回決算型)","円","80.00","320,616","2,565","0","2,565"
"2026/01/16","国内株式","特定・一般","2559","ＭＸＳ全世界株式","円","147","137","20,139","2,613","17,526"
