入金日,証券会社,口座区分,銘柄コード,銘柄,税引前,税額,受取金額
2026-09-03,楽天証券,特定・一般,3003,"ヒューリック",10050,2041,8009
2026-09-01,楽天証券,NISA成長投資枠,1605,"ＩＮＰＥＸ",22400,0,22400
2026-08-31,楽天証券,NISA成長投資枠,,"楽天・シュワブ・高配当株式・米国ファンド(四半期決算型)(楽天・SCHD)",1430,0,1430
2026-08-28,楽天証券,旧NISA,,"iFreePlus 米国配当王(年4回決算型)",2725,0,2725
2026-07-27,楽天証券,特定・一般,3031,"ラクーンホールディングス",6400,1300,5100
2026-07-17,楽天証券,特定・一般,2559,"ＭＸＳ全世界株式",13124,1669,11455
2026-07-17,楽天証券,NISA成長投資枠,2559,"ＭＸＳ全世界株式",13124,0,13124
2026-06-30,楽天証券,特定・一般,8766,"東京海上ＨＤ",11250,2284,8966
2026-06-29,楽天証券,特定・一般,8306,"三菱ＵＦＪフィナンシャルＧ",5100,1036,4064
2026-06-26,楽天証券,NISA成長投資枠,3002,"グ　ン　ゼ",21600,0,21600
2026-06-25,楽天証券,特定・一般,7504,"高速",17400,3534,13866
2026-06-25,楽天証券,NISA成長投資枠,1301,"極　洋",15000,0,15000
2026-06-24,楽天証券,特定・一般,8424,"芙蓉総合リース",7900,1604,6296
2026-06-23,楽天証券,特定・一般,8725,"ＭＳ＆ＡＤ",8250,1675,6575
2026-06-22,楽天証券,NISA成長投資枠,8053,"住友商事",8000,0,8000
2026-06-18,楽天証券,特定・一般,9433,"ＫＤＤＩ",8000,1625,6375
2026-06-12,楽天証券,特定・一般,166A,"タスキホールディングス",3200,650,2550
2026-06-08,楽天証券,特定・一般,8473,"ＳＢＩホールディングス",15000,3047,11953
2026-06-08,楽天証券,特定・一般,8593,"三菱ＨＣキャピタル",9600,1950,7650
2026-06-04,楽天証券,特定・一般,2296,"伊藤ハム米久ＨＬＤＧＳ",15000,3047,11953
2026-06-01,楽天証券,NISA成長投資枠,9432,"ＮＴＴ",2650,0,2650
2026-05-29,楽天証券,NISA成長投資枠,,"楽天・シュワブ・高配当株式・米国ファンド(四半期決算型)(楽天・SCHD)",350,0,350
2026-05-29,楽天証券,旧NISA,,"iFreePlus 米国配当王(年4回決算型)",2725,0,2725
2026-05-26,楽天証券,特定・一般,7203,"トヨタ自動車",10000,2031,7969
2026-04-24,楽天証券,特定・一般,1928,"積水ハウス",7200,1462,5738
2026-03-30,楽天証券,NISA成長投資枠,1605,"ＩＮＰＥＸ",20000,0,20000
2026-03-26,楽天証券,特定・一般,3003,"ヒューリック",10050,2041,8009
2026-03-05,楽天証券,特定・一般,2296,"伊藤ハム米久ＨＬＤＧＳ",18000,3656,14344
2026-03-02,楽天証券,旧NISA,,"iFreePlus 米国配当王(年4回決算型)",2565,0,2565
2026-01-16,楽天証券,特定・一般,2559,"ＭＸＳ全世界株式",20139,2613,17526
